x1,x2,y1,y2
-0.9032,-0.613,44.16862786,96.3846073
-0.9032,-0.5806,44.39177314,95.37497976
-0.9032,-0.5484,44.60626056,94.33410072
-0.9032,-0.5162,44.8134901,93.25585397
-0.9032,-0.4838,45.01468114,92.13319345
-0.9032,-0.4516,45.20734984,90.97997917
-0.9032,-0.4194,45.39276066,89.78939718
-0.9032,-0.387,45.57199746,88.55370369
-0.9032,-0.3548,45.74284744,87.28815417
-0.9032,-0.3226,45.90643954,85.98523694
-0.9032,-0.2904,46.06277376,84.644952
-0.9032,-0.258,46.21275336,83.25862572
-0.9032,-0.2258,46.35452674,81.84337326
-0.9032,-0.1936,46.48904224,80.39075308
-0.9032,-0.1612,46.6170676,78.89139383
-0.9032,-0.129,46.73702226,77.36380612
-0.9032,-0.0968,46.84971904,75.7988507
-0.9032,-0.0646,46.95515794,74.19652757
-0.9032,-0.0322,47.0539261,72.54653554
-0.9032,0,47.14480416,70.86924488
-0.9032,0.0322,47.22842434,69.1545865
-0.9032,0.0646,47.30523826,67.3915615
-0.9032,0.0968,47.3742976,65.6019356
-0.9032,0.129,47.43609906,63.77494199
-0.9032,0.1612,47.49064264,61.91058067
-0.9032,0.1936,47.53819936,59.99692288
-0.9032,0.2258,47.5781821,58.05759403
-0.9032,0.258,47.61090696,56.08089747
-0.9032,0.2904,47.63650944,54.05420671
-0.9032,0.3226,47.65467346,52.00254262
-0.9032,0.3548,47.6655796,49.91351082
-0.9032,0.387,47.66922786,47.7871113
-0.9032,0.4194,47.66557314,45.60978776
-0.9032,0.4516,47.65466056,43.40842072
-0.9032,0.4838,47.6364901,41.16968597
-0.9032,0.5162,47.61088114,38.87932945
-0.9032,0.5484,47.57814984,36.56562717
-0.9032,0.5806,47.53816066,34.21455718
-0.9032,0.613,47.49059746,31.81116769
-0.9032,0.6452,47.43604744,29.38513017
-0.9032,0.6774,47.37423954,26.92172494
-0.9032,0.7096,47.30517376,24.420952
-0.9032,0.742,47.22835336,21.86692972
-0.9032,0.7742,47.14472674,19.29118926
-0.9032,0.8064,47.05384224,16.67808108
-0.9032,0.8388,46.9550676,14.01102583
-0.9032,0.871,46.84962226,11.32295012
-0.9032,0.9032,46.73691904,8.597506701
-0.9032,0.9354,46.61695794,5.834695567
-0.9032,0.9678,46.4889261,3.017007535
-0.9032,1,46.35440416,0.179228877
-0.871,-1,41.2317565,105.7178626
-0.871,-0.9678,41.53766616,105.1760099
-0.871,-0.9354,41.83815024,104.5930751
-0.871,-0.9032,42.12949906,103.9762548
-0.871,-0.871,42.41359,103.3220669
-0.871,-0.8388,42.69042306,102.6305112
-0.871,-0.8064,42.96164994,101.8969436
-0.871,-0.7742,43.22392216,101.1304204
-0.871,-0.742,43.4789365,100.3265295
-0.871,-0.7096,43.72820914,99.4799289
-0.871,-0.6774,43.96866264,98.60107048
-0.871,-0.6452,44.20185826,97.68484434
-0.871,-0.613,44.427796,96.73125048
-0.871,-0.5806,44.64781144,95.7340171
-0.871,-0.5484,44.85918834,94.70545572
-0.871,-0.5162,45.06330736,93.63952663
-0.871,-0.4838,45.26136856,92.52926028
-0.871,-0.4516,45.45092674,91.38836366
-0.871,-0.4194,45.63322704,90.21009932
-0.871,-0.387,45.809334,88.9868
-0.871,-0.3548,45.97707346,87.73356814
-0.871,-0.3226,46.13755504,86.44296857
-0.871,-0.2904,46.29077874,85.11500129
-0.871,-0.258,46.4376285,83.74106918
-0.871,-0.2258,46.57629136,82.33813437
-0.871,-0.1936,46.70769634,80.89783185
-0.871,-0.1612,46.83259186,79.41086677
-0.871,-0.129,46.949436,77.89559672
